,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
66,cryptopotato.com,Avail Partners With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"[PRESS RELEASE – Dubai, United Arab Emirates, April 2nd, 2024] Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing control over their digital assets Avail, a modular blockchain …",https://biztoc.com/x/e1f5635a3792b0c8,https://c.biztoc.com/p/e1f5635a3792b0c8/s.webp,2024-04-02T13:30:08Z,"[PRESS RELEASE Dubai, United Arab Emirates, April 2nd, 2024]Following the integration, users will be able to natively manage their BTC on any rollup in the Avail ecosystem without relinquishing contr… [+300 chars]",,Biztoc.com
67,Liam 'Akiba' Wright,Polygon spin-off Avail partners with dWallet to bring programmable Bitcoin to Web3 rollups,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups in the Avail ecosystem. Polygon co-founder Anurag Arjun spu…",https://cryptoslate.com/polygon-spin-off-avail-partners-with-dwallet-to-bring-programmable-bitcoin-to-web3-rollups/,https://cryptoslate.com/wp-content/uploads/2024/04/bitcoin-wallet.jpg,2024-04-02T13:30:13Z,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups… [+3929 chars]",,CryptoSlate
68,cryptoslate.com,Polygon spin-off Avail partners with dWallet to bring programmable Bitcoin to Web3 rollups,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups in the Avail ecosystem. Polygon co-founder Anurag Arjun spu…",https://biztoc.com/x/5961a8c1cf5cf36b,https://c.biztoc.com/p/5961a8c1cf5cf36b/s.webp,2024-04-02T13:44:06Z,"Avail, a modular blockchain focused on unifying Web3 and optimizing data availability for scalable applications, has partnered with dWallet Network to introduce programmable native Bitcoin to rollups… [+299 chars]",,Biztoc.com
69,Oluwapelumi Adejumo,CoinList’s spring 2024 batch shines a spotlight on next-gen crypto projects,"CoinList, a leading Web3 launchpad platform, has selected ten promising crypto projects for its 2024 spring batch Seed projects, according to an April 2 statement shared with CryptoSlate. The projects were selected from over 350 applicants vying for inclusion…",https://cryptoslate.com/coinlists-spring-2024-batch-shines-a-spotlight-on-next-gen-crypto-projects/,https://cryptoslate.com/wp-content/uploads/2024/04/seed-spring-.jpg,2024-04-02T15:00:06Z,"CoinList, a leading Web3 launchpad platform, has selected ten promising crypto projects for its 2024 spring batch Seed projects, according to an April 2 statement shared with CryptoSlate.
The projec… [+2621 chars]",,CryptoSlate
70,PR DESK,Avail Joins Forces With dWallet Network To Introduce Native Bitcoin Rollups to Web3,"With the integration, users can effortlessly manage their BTC on any rollup within the Avail ecosystem while maintaining full control over their digital assets. Avail has partnered with dWallet Network to introduce programmable native Bitcoin to rollups withi…",https://zycrypto.com/avail-joins-forces-with-dwallet-network-to-introduce-native-bitcoin-rollups-to-web3/,https://zycrypto.com/wp-content/uploads/2024/04/unnamed-98.jpg,2024-04-02T15:42:11Z,"With the integration, users can effortlessly manage their BTC on any rollup within the Avail ecosystem while maintaining full control over their digital assets.
Avail has partnered with dWallet Netw… [+5045 chars]",,ZyCrypto
71,AMBCrypto Team,"Bitcoin, Solana and other Altcoins face setbacks but Borroe Finance raises $3.5M in presale","As soon as investors thought that all pre-halving corrections and retraces were over, Bitcoin, Solana, […]",https://ambcrypto.com/bitcoin-solana-and-other-altcoins-face-setbacks-but-borroe-finance-raises-3-5m-in-presale/,https://ambcrypto.com/wp-content/uploads/2024/04/Borroe-Finance-raises-3.5M-1000x600.png,2024-04-02T17:15:48Z,"As soon as investors thought that all pre-halving corrections and retraces were over, Bitcoin, Solana, and other top altcoins entered another correction phase. Bitcoin lost 4% today, while Solana she… [+4404 chars]",,Ambcrypto.com
72,Reuters,Ether fettered by fate of spot ETF proposals,"The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. But ether is up just around 53% in the first three months of this year, compared with bitcoin's 65%.",https://economictimes.indiatimes.com/tech/technology/ether-fettered-by-fate-of-spot-etf-proposals/articleshow/108989713.cms,"https://img.etimg.com/thumb/msid-108989725,width-1200,height-630,imgsize-233070,overlay-ettech/photo.jpg",2024-04-03T02:50:32Z,"Cryptocurrency ether is struggling to keep pace with soaring big brother bitcoin.The no. 2 cryptocurrency, which commands less than a fifth of the $2.7 trillion crypto market, has not done poorly. Bu… [+3917 chars]",the-times-of-india,The Times of India
73,Aryze,Mercado Bitcoin Lists eUSD & eGBP Digital Cash stablecoins by ARYZE,Mercado Bitcoin Brazil announces listing of eUSD & eGBP Digital Cash full reserve stablecoins from leading  Danish fintech ARYZE ......,https://www.globenewswire.com/news-release/2024/04/03/2856646/0/en/Mercado-Bitcoin-Lists-eUSD-eGBP-Digital-Cash-stablecoins-by-ARYZE.html,https://ml-eu.globenewswire.com/Resource/Download/b099fe19-6a91-4757-8724-88340051617d,2024-04-03T07:30:00Z,"SÃO PAULO, Brazil and COPENHAGEN, Denmark, April 03, 2024 (GLOBE NEWSWIRE) -- Mercado Bitcoin (MB), the largest digital asset platform in Latin America, has expanded its listings of Digital Cash stab… [+2678 chars]",,GlobeNewswire
74,Marvie Basilan,Paradigm Reportedly In Talks To Raise Up To $850M For Crypto Venture Fund,"Paradigm, which invested $278 million into the collapsed FTX, is reportedly in talks to raise up to $850 million for a new crypto fund that could further propel the web3 ecosystem forward.",https://www.ibtimes.com/paradigm-reportedly-talks-raise-850m-crypto-venture-fund-3728785,https://d.ibtimes.com/en/full/4506204/1.jpg,2024-04-03T09:49:32Z,"KEY POINTS
<ul><li>It would be the largest crypto-focused fund yet since Andreessen Horowitz's $4.5 billion in 2022</li><li>Paradigm's largest funding drive was in November 2021 at $2.5 billion</li>… [+2735 chars]",,International Business Times
75,Marvie Basilan,FixedFloat Suffers Another Exploit By The Same Hackers; Tether Blacklists Hack-Linked Addresses,FixedFloat suffered another exploit by the same hackers that took $26 million in BTC and ETH from the exchange.,https://www.ibtimes.com/fixedfloat-suffers-another-exploit-same-hackers-tether-blacklists-hack-linked-addresses-3728791,https://d.ibtimes.com/en/full/4519999/crypto-hacking.jpg,2024-04-03T10:21:34Z,"KEY POINTS
<ul><li>Blockchain security firms first reported 'suspicious' activity on the exchange early Tuesday</li><li>FixedFloat said the hackers detected a 'vulnerability of a third party' whose … [+3979 chars]",,International Business Times
76,coinspeaker.com,Binance Inscription Marketplace Boosts Web3 Access with ARC-20 Token Support,"Coinspeaker Binance Inscription Marketplace Boosts Web3 Access with ARC-20 Token Support In the latest development on April 3, crypto exchange Binance announced that the Binance Inscription Marketplace will now start supporting the ARC-20 tokens. The ARC-20 i…",https://biztoc.com/x/acddd1659531d2a6,https://c.biztoc.com/p/acddd1659531d2a6/s.webp,2024-04-03T12:10:04Z,"CoinspeakerBinance Inscription Marketplace Boosts Web3 Access with ARC-20 Token SupportIn the latest development on April 3, crypto exchange Binance announced that the Binance Inscription Marketplace… [+316 chars]",,Biztoc.com
77,,FEDS Note: Tokenized Assets on Public Blockchains: How Transparent is the Blockchain?,"Cy Watsky, Matthew Liu, Nolan Ly, Kurtis Orr, Amber Seira, Zach Vida, Lawrence WuWith the proliferation of programmable blockchains with smart contract capabilities, new blockchain technology use cases have emerged that involve the tokenization of conventiona…",https://www.federalreserve.gov/econres/notes/feds-notes/tokenized-assets-on-public-blockchains-how-transparent-is-the-blockchain-20240403.html,https://www.federalreserve.gov/images/social-media/social-default-image-opengraph.jpg,2024-04-03T13:15:00Z,"April 03, 2024
Tokenized Assets on Public Blockchains: How Transparent is the Blockchain?
Cy Watsky, Matthew Liu, Nolan Ly, Kurtis Orr, Amber Seira, Zach Vida, Lawrence Wu1
Introduction
With the … [+24083 chars]",,Federalreserve.gov
78,"Zenger News, Contributor, 
 Zenger News, Contributor
 https://www.forbes.com/sites/zengernews/",‘The Halvening NYC’ – Bitcoin’s Return On NFT NYC’s Opening Night,"'The Halvening NYC' by Nolcha Shows debuts at NFT NYC 2024, celebrating Bitcoin's halving and Ordinals innovation in the areas of art, mining, and tech converge.",https://www.forbes.com/sites/zengernews/2024/04/03/the-halvening-nyc--bitcoins-return-on-nft-nycs-opening-night/,https://imageio.forbes.com/specials-images/imageserve/6606711f8fbf88a6fb06a64f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-04-03T14:00:00Z,"By: Christos Makridis
As the web3 community gears up for NFT NYC 2024, Nolcha Shows is organizing The Halvening NYC, a nod to Bitcoins quadrennial halving of mining rewards slated to occur around Ap… [+6599 chars]",,Forbes
79,PYMNTS,Messaging Platform Telegram Pivots to Crypto Payments for Ads,"Throughout nearly their entire history, cryptocurrencies have represented the archetypal innovation in search of a problem. And while they’ve succeeded as an unregulated store of value, as well as a tool for scammers, digital assets have yet to crack the nut …",https://www.pymnts.com/cryptocurrency/2024/messaging-platform-telegram-pivots-to-crypto-payments-for-ads/,https://www.pymnts.com/wp-content/uploads/2021/02/telegram.jpg,2024-04-03T16:22:57Z,"Throughout nearly their entire history, cryptocurrencies have represented the archetypal innovation in search of a problem. And while theyve succeeded as an unregulated store of value, as well as a t… [+4291 chars]",,pymnts.com
80,AMBCrypto Team,Crypto analysts predict BlockDAG presale conclusion in 3 months amid XRP bull run,"Amidst the unpredictable waves of the cryptocurrency market, BlockDAG emerges as an innovation and promise, […]",https://ambcrypto.com/?p=381490,https://ambcrypto.com/wp-content/uploads/2024/04/Screenshot-2024-04-03-172007-2-1000x600.png,2024-04-03T17:05:33Z,"Amidst the unpredictable waves of the cryptocurrency market, BlockDAG emerges as an innovation and promise, distinguishing itself from the turbulence surrounding other coins like XRP and Polkadot. Th… [+4476 chars]",,Ambcrypto.com
81,Jose Antonio Lanz,Bitcoin-Backed Core Network Defies Flat Market With 218% Price Spike,"The CORE token of the Bitcoin-backed Core Network is on a bullish run this week, outperforming BTC itself and other major cryptocurrencies.",https://decrypt.co/224662/bitcoin-backed-core-network-218-percent-price-spike,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2024/04/Firefly-20240403130016-gID_7.png,2024-04-03T17:28:54Z,"CORE, a rising token in the crypto space, has been defying the flat crypto markets with a remarkable spike of over 218% in just one week.
CORE is the token of Core Network, a Bitcoin-secured, Ethere… [+3440 chars]",,Decrypt
82,Bradley Keoun,The Protocol: Using the Money Printer,"If you have the money printer – as is the case for many of the blockchain projects with the power to create their own digital tokens – why wouldn't you use it? PLUS: Vitalik Buterin riffs on meme coin and Ethereum's new ""blob market.""",https://www.coindesk.com/tech/2024/04/03/the-protocol-using-the-money-printer/,https://www.coindesk.com/resizer/zS6V6YAuCH9fDYRCxM9FNHqMFQY=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/YQCWHERIPZAJDDRIXZCZC5A724.jpg,2024-04-03T19:29:43Z,"One thing blockchain teams succeeded in long ago: coopting the money printer, from the initial coin offerings, or ICOs, in the late 2010s, to the current-vintage ""token generation events,"" or TGEs. I… [+12742 chars]",,CoinDesk
83,Bradley Keoun,Protocol Village: Optimism-Based DEX Velodrome Deploys to Bitcoin L2 BOB,"The latest in blockchain tech upgrades, funding announcements and deals. For the period of April 4-10.",https://www.coindesk.com/tech/2024/04/03/protocol-village/,https://www.coindesk.com/resizer/anPbRzQBfc7-pEiwMErfKjteN6I=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/UK44TNET4ZFIFAX2JQSWJQJSTU.jpeg,2024-04-03T21:26:53Z,"April 4: Velodrome, an AMM-based decentralized exchange on Optimism, officially announced their second major deployment onto the BOB (Build on Bitcoin) network, a Bitcoin layer-2 network with EVM com… [+2104 chars]",,CoinDesk
84,,HIVE Digital Technologies Announces its Attendance at Two Premier Industry Events: Paris Blockchain Week and AIM Summit London,"(marketscreener.com) HIVE Digital Technologies Ltd. , a global leader in digital technology and AI advancement, announced today its attendance at Paris Blockchain Week and AIM Summit London. Paris Blockchain Week: April 9-11, 2024Paris Blockchain Week is Euro…",https://www.marketscreener.com/quote/stock/HIVE-DIGITAL-TECHNOLOGIES-40680906/news/HIVE-Digital-Technologies-Announces-its-Attendance-at-Two-Premier-Industry-Events-Paris-Blockchain-46354710/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2024-04-04T05:05:05Z,"Vancouver, British Columbia--(Newsfile Corp. - April 4, 2024) - HIVE Digital Technologies Ltd. (TSXV: HIVE) (NASDAQ: HIVE) (FSE: HBFA.F) (the ""Company"" or ""HIVE""), a global leader in digital technolo… [+4317 chars]",,Marketscreener.com
85,Investing.com,HIVE Digital Technologies Announces its Attendance at Two Premier Industry Events: Paris Blockchain Week and AIM Summit London,HIVE Digital Technologies Announces its Attendance at Two Premier Industry Events: Paris Blockchain Week and AIM Summit London,https://www.investing.com/news/press-releases/hive-digital-technologies-announces-its-attendance-at-two-premier-industry-events-paris-blockchain-week-and-aim-summit-london-93CH-3364981,https://i-invdn-com.investing.com/news/World_News_9_800x533_L_1420026261.jpg,2024-04-04T05:40:06Z,"Vancouver, British Columbia--(Newsfile Corp. - April 4, 2024) - HIVE Digital Technologies Ltd. (TSXV: HIVE) (NASDAQ: HIVE) (FSE: HBFA.F) (the ""Company"" or ""HIVE""), a global leader in digital technolo… [+4317 chars]",,Investing.com
86,,HIVE Digital Technologies Announces its Attendance at Two Premier Industry Events: Paris Blockchain Week and AIM Summit London,"(marketscreener.com) HIVE Digital Technologies Ltd. , a global leader in digital technology and AI advancement, announced today its attendance at Paris Blockchain Week and AIM Summit London. Paris Blockchain Week: April 9-11, 2024Paris Blockchain Week is Euro…",https://www.marketscreener.com/quote/stock/HIVE-DIGITAL-TECHNOLOGIES-40680906/news/HIVE-Digital-Technologies-Announces-its-Attendance-at-Two-Premier-Industry-Events-Paris-Blockchain-46361323/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2024-04-04T10:05:06Z,"Vancouver, British Columbia--(Newsfile Corp. - April 4, 2024) - HIVE Digital Technologies Ltd. (TSXV: HIVE) (NASDAQ: HIVE) (FSE: HBFA.F) (the ""Company"" or ""HIVE""), a global leader in digital technolo… [+4317 chars]",,Marketscreener.com
87,Liam 'Akiba' Wright,Bringing Bitcoin to real world infrastructure through new Layer-2 DePIN partnership,"Bitcoin-focused blockchain Elastos is partnering with the decentralized physical infrastructure networks (DePIN) network IoTeX on digital identity validation. However, the collaboration also aims to bring Bitcoin’s robustness and trust to the forefront of DeP…",https://cryptoslate.com/bringing-bitcoin-to-real-world-infrastructure-through-new-layer-2-depin-partnership/,https://cryptoslate.com/wp-content/uploads/2024/04/bitcoin-depin.jpg,2024-04-04T10:54:43Z,"Bitcoin-focused blockchain Elastos is partnering with the decentralized physical infrastructure networks (DePIN) network IoTeX on digital identity validation. However, the collaboration also aims to … [+3029 chars]",,CryptoSlate
88,Kyt Dotson,LightLink closes $6.2M extended seed round for Ethereum L2 blockchain with no fees,"LightLink Network Ltd., an Ethereum Layer 2 blockchain that offers enterprises the ability to run decentralized apps with no fees, today announced the close of a $6.2 million extended seed round that will help the company grow its distributed ledger offering.…",https://siliconangle.com/2024/04/04/lightlink-closes-6-2m-extended-seed-round-ethereum-l2-blockchain-no-fees/,https://d15shllkswkct0.cloudfront.net/wp-content/blogs.dir/1/files/2024/01/network-3607640_1280.jpg,2024-04-04T13:00:15Z,"LightLink Network Ltd., an Ethereum Layer 2 blockchain that offers enterprises the ability to run decentralized apps with no fees, today announced the close of a $6.2 million extended seed round that… [+4094 chars]",,SiliconANGLE News
89,Chainwire,Zeus Network Secures $8 Million In Funding to Enhance the Solana Blockchain,Zeus Network Secures $8 Million In Funding to Enhance the Solana Blockchain,https://www.investing.com/news/cryptocurrency-news/zeus-network-secures-8-million-in-funding-to-enhance-the-solana-blockchain-3366081,https://i-invdn-com.investing.com/news/Cryptocurrencies_800x533_L_1556444946.jpg,2024-04-04T14:30:54Z,"New York, New York, April 4th, 2024, Chainwire
Zeus Network has secured over $8 million in investments from a number of leading venture capital firms and angel investors, demonstrating strong suppor… [+2667 chars]",,Investing.com
90,Jon Stokes,Proving you're human online doesn't require a credit card,"Elon Musk went viral last year with tweets suggesting that the future of social media is to pay for it, because otherwise, it’ll all just be bots. This problem of how to prove you're human and not a bot is only getting worse. 
 
 — (@)
 
 
 
 
 — (@)
 
 
 M…",https://www.theblaze.com/return/proving-you-re-human-online-doesn-t-require-a-credit-card,https://www.theblaze.com/media-library/proving-you-re-human-online-doesn-t-require-a-credit-card.jpg?id=51918654&width=1200&height=600&coordinates=0%2C0%2C0%2C33,2024-04-04T16:10:00Z,"Elon Musk went viral last year with tweets suggesting that the future of social media is to pay for it, because otherwise, itll all just be bots. This problem of how to prove you're human and not a b… [+8040 chars]",,TheBlaze
91,AMBCrypto Team,"Ethereum’s new ATH, BlockDAG’s 20,000x projections outshine WAX’s AWS alliance","Ethereum has continued to break new ground, reaching unprecedented heights and securing its spot as […]",https://ambcrypto.com/?p=381844,https://ambcrypto.com/wp-content/uploads/2024/04/BlockDAGs-20000x-projections-1000x600.png,2024-04-04T17:05:53Z,"Ethereum has continued to break new ground, reaching unprecedented heights and securing its spot as a cornerstone in cryptocurrency. Meanwhile, a new contender is making waves: BlockDAG, with its aud… [+3581 chars]",,Ambcrypto.com
92,Vikram Subburaj,Crypto Gems: Top crypto assets to watch & buy in April 2024,"Ethereum, Solana and other top altcoins have registered considerable gains but are still off their all-time highs of 2021 whereas Bitcoin has registered new highs this year.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-gems-top-crypto-assets-to-watch-buy-in-april-2024/articleshow/109056416.cms,"https://img.etimg.com/thumb/msid-109056426,width-1200,height-630,imgsize-2885966,overlay-etmarkets/photo.jpg",2024-04-05T06:17:16Z,2024 continues to be a great year for crypto enthusiasts. Bitcoin has registered seven green months in a row and is aiming to do one better in April its halving month. The current pullback and consol… [+4635 chars],the-times-of-india,The Times of India
93,Zulu Network,Zulu Network Secures $3 Million in Pre-Seed Funding to Revolutionize Bitcoin Layer 2,"George Town, Cayman Islands, April 05, 2024 (GLOBE NEWSWIRE) -- In a landmark move for the Bitcoin Economy, Zulu Network, the first Two-Tiered Bitcoin Layer 2 offering EVM and UTXO support, has successfully closed $3 million in pre-seed funding, marking a sig…",https://www.globenewswire.com/news-release/2024/04/05/2858484/0/en/Zulu-Network-Secures-3-Million-in-Pre-Seed-Funding-to-Revolutionize-Bitcoin-Layer-2.html,https://ml.globenewswire.com/Resource/Download/eba95e2d-3bee-47d7-a5be-9b2543086206,2024-04-05T12:00:00Z,"George Town, Cayman Islands, April 05, 2024 (GLOBE NEWSWIRE) -- In a landmark move for the Bitcoin Economy, Zulu Network, the first Two-Tiered Bitcoin Layer 2 offering EVM and UTXO support, has succe… [+6065 chars]",,GlobeNewswire
94,Dean Takahashi,Ordz Games unveils blockchain-based gaming handheld BitBoy,"Ordz Games unveiled BitBoy, a handheld retro gaming device reminiscent of a Game Boy. But this one will let players earn Bitcoin while playing on a blockchain network.",https://venturebeat.com/games/ordz-games-unveils-blockchain-based-gaming-handheld-bitboy/,https://venturebeat.com/wp-content/uploads/2024/04/bitboy-4.jpg?w=1200&strip=all,2024-04-05T13:30:00Z,"Are you looking to showcase your brand in front of the gaming industrys top leaders? Learn more about GamesBeat Summit sponsorship opportunities here. 
Ordz Games unveiled BitBoy, a handheld retro g… [+1034 chars]",,VentureBeat
95,Daniel 🛡️,Chief Marketing Officer at Rover,Rover is looking to hire a Chief Marketing Officer to join their team. This is a full-time position that can be done remotely anywhere in Asia.,https://cryptocurrencyjobs.co/marketing/rover-chief-marketing-officer/,https://cryptocurrencyjobs.co/startups/assets/logos/placeholder.cc5728517d55a32c6989ad8e01d5eda488f5fa10ea9ce47110e0a49a07830ab7.jpg,2024-04-05T17:55:29Z,"Rover is building liquid staking for the Botanix Ecosystem, which is a fully decentralized EVM on Bitcoin. Rover is backed by leading Web3 VC’s. We are searching for our Chief Marketing Officer, who … [+2205 chars]",,Cryptocurrencyjobs.co
96,Mehron Rokhy,Top-100 Altcoin Surges Over 2x in a Week Amid a Slate of New Features and Partnerships,"A top-100 altcoin has more than doubled up during the last week as it announces a host of new partnerships and features. New data reveals that Core (CORE), a layer-1 blockchain that leverages the advantages of Bitcoin’s (BTC) proof-of-work network, has skyroc…",https://dailyhodl.com/2024/04/05/top-100-altcoin-surges-over-2x-in-a-week-amid-a-slate-of-new-features-and-partnerships/,https://dailyhodl.com/wp-content/uploads/2022/08/defi-downturn-surges.jpg,2024-04-05T18:41:01Z,"A top-100 altcoin has more than doubled up during the last week as it announces a host of new partnerships and features.
New data reveals that Core (CORE), a layer-1 blockchain that leverages the ad… [+1625 chars]",,The Daily Hodl
97,Harrison Jacobs,"At NFT.NYC, Web3 Types Focus on Merchandising and the Art World Heads Elsewhere","At this year’s post-crypto crash edition of NFT.NYC, he energy was more muted and the Web3’s various factions kept to themselves.",https://www.artnews.com/art-news/news/nft-nyc-2024-merchandising-ai-art-recap-1234701983/,https://www.artnews.com/wp-content/uploads/2024/04/NFTNYC.jpeg?w=1024,2024-04-05T20:28:04Z,"When NFT.NYC was established in 2018, it brought together a tight-knit community of Web3 nerds. But, by 2021, it had exploded into a monster convention, with 1,500 speakers and a stacked calendar of … [+6076 chars]",,ARTnews
98,Andrew Hayward,"This Little Device Can Hold Your Bitcoin, Play Games—And Farm Airdrops as You Sleep","The Game Boy-like BitBoy One is a Bitcoin-themed gaming handheld, BTC wallet, and DePIN airdrop farmer all in one portable device.",https://decrypt.co/225056/bitcoin-gaming-handheld-holds-btc-farms-airdrops,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2024/04/bitboy_show_1-gID_7.jpg,2024-04-05T20:39:01Z,"Plans for a Game Boy cartridge that turns that classic gaming handheld into a functional Bitcoin cold wallet were sadly abandoned last year, but heres a new project that bundles Bitcoin gaming, play-… [+3158 chars]",,Decrypt
99,News Team,Cardano (ADA) and FLOKI (FLOKI) trade sideways; NuggetRush (NUGX) attract attention ahead of launch,"Cardano and FLOK trade sideways, although a price rally is on the horizon. NuggetRush is a new and emerging altcoin buzzing with potential. Some analysts are tipping it for a 100x upswing after its launch. The market hit a snag towards the end of the first qu…",https://coinjournal.net/news/cardano-ada-and-floki-floki-trade-sideways-nuggetrush-nugx-attract-attention-ahead-of-launch/,https://coinjournal.net/wp-content/uploads/2024/04/1712459527707-9887452f-12ad-4c66-b5e9-7f91c859e65d.jpg,2024-04-07T09:00:45Z,"<ul><li>Cardano and FLOK trade sideways, although a price rally is on the horizon.</li><li>NuggetRush is a new and emerging altcoin buzzing with potential.</li><li>Some analysts are tipping it for a … [+3702 chars]",,Coinjournal.net
